융합주제강좌: 미래,김홍중,21,Spring,5.0,"나름 재밌었던 강의였어요, 로드도 거의 없었어요"
융합주제강좌: 미래,김홍중,21,Fall,4.0,공부하기 빡센 전공과목 듣는 학기에 신청하시면 좋을 것 같습니다. 평소에 하는거 정말 1도 없다가 학기말에 영상물 과제 하나 있어요. 그마저도 영상 퀄리티가 크게 필요하지는 않더라구요. 2-3명이서 만드는거라 친구랑 겹강하면 좋습니다~
융합주제강좌: 미래,김홍중,21,Fall,5.0,"학기말에 과제 제출 한 개 잇어요. 과제는 미래에 대한 주제를 담은 영상 만들기고요. 어떤 주제를 선택하고 어떤 방식으로 영상을 만드냐에 따라 과제 부담 정도는 달라지지만, S/U 과목이라 크게 부담은 없습니다.
수업은 강의 반, 토론 반으로 진행됩니다. 강의는 개인적으로 무척 흥미로웟고, 강의계획서를 꼼꼼히 읽어보고 수강여부 결정하면 될 것 같아요. 토론은 분반해서 진행되는데 어떤 조교님이 토론을 리드하나, 적극적으로 참여하는 학생들이 많나 등등에 따라 얻어가는게 엄청 다를 것 같아요. 저는 개인적으로 만족하는 수준이었습니다.
전반적으로 미래에 대해 제대로 얻어가는 지식이 하나라도 있어서 너무 뿌듯하고, 토론에 참여하면서 다른 학우들 의견 듣는것도 흥미로웟어요. 게다가 로드는 기말영상과제 하나뿐이라 나름 꿀이라 할 수 잇겠네요!"
