학생제안강좌: 연극과 감정 표현,신은영,24,Spring,5.0,"추천하는 강의
거의 매주 연기 실습이 있어서 조금 힘들긴 하지만 성적 부담이 없어서 재미있게 할 수 있음!
놀면서 교양 채우고 싶으면 추천"
학생제안강좌: 연극과 감정 표현,신은영,23,Fall,5.0,"기말 발표로 연극을 올리는 재밌는 강의 + s/u 꿀강

아침이라 일어나기 힘들었으나 그래도 재밌으니까 가게 됨

연극을 조금 낮은 수준으로 해보는 연극 개론 수업에 가까움. 연기론에 대해 구체적으로 배우지는 않음. 그러나 다 자기 하기 나름이고 이 수업 역시 충분히 연기에 몰입하는 계기가 될 수 있음. 

기본적으로 팀 플레이인데 모두가 자신만큼 열정이 없을 수도 있음. 근데 우리팀은 열정 대박이어서 나는 좋았음. 다른 팀도 꽤나 잘했더라.

암튼 재밌어요. 연극 좋아하면 추천"
학생제안강좌: 연극과 감정 표현,신은영,23,Fall,5.0,"관악 최고의 교양 강좌

관악 유일의 실기 연극수업"
