시사 러시아어,EVGENY ILYUSHIN,23,Fall,5.0,출석만 하면 a+ 나오는 강의. 시험 없고 걍 발표 두번 이런 꿀강 없다. 완전 스윗하신 교수님 강추.
시사 러시아어,Baldina Elena,22,Fall,5.0,교수님이 매우 유쾌하세요 ㅎㅎ 한 학기 즐겁게 수강하였습니당
시사 러시아어,Baldina Elena,19,Fall,1.0,"이 교수님이 2020-1학기까지 하시고 2020-2학기에 다른 분이 오실 예정인데 다른 분이 어떨지는 모르겠지만 다른 교수님 수업을 듣는걸 추천합니다. 옐레나 교수님 수업은 관광객으로서의 교수님의 감상을 한시간반동안 듣고 있어야하고, 기말고사는 구술시험으로 보는데 평소에 말하기 연습을 할수없으니(교수님 혼자 말하고 싶어하심) 시험을 잘 볼수 있을리가 없습니다. 평소에 러시아어를 잘하고 못하고랑은 별개로 성적을 마구잡이로 받아요(교수님이 학생 이름이랑 학생을 매치 못하심)"
