탁구초급,권준혜,22,Fall,5.0,"너무 좋아요! 강사님께서 열정있게 잘 알려주시고 예쁘십니다.
탁구 기본기를 정말 잘 배울 수 있었어요
학점도 정말 잘 주십니다.. 잘 못하시는 분들도 A+ 가져가실수있어요~"
탁구초급,권준혜,22,Fall,5.0,"너무 잘 배웠습니다.
기본적인 그립 포핸드 백핸드를 배우고 커트서브와 스매싱까지 나간 뒤 학생들 선호조사를 통해 기말고사 시험 종류를 정합니다.
학점도 잘 주시는 것 같고 무엇보다도 학생 편의를 최대한 배려해주셔서 한학기 잘 배운것같습니다."
탁구초급,권준우,23,Summer,5.0,탁구 경험 하나도 없고 아는 게 하나도 없었던 내가 에플 받은 이 수업. 교수님께서 엄청 친절하심.
탁구초급,권준우,23,Winter,5.0,"겨울계절 9시 수업이라 출석 다하고 하라는거 다하면 에쁠입니다(출석 50%)
기숙사 사시는 분들은 달달하고 재미있게 학점 챙겨가기 좋을 거에요 출석도 15분 늦게 부르세요
휴강도 은근히 많았고(총 3번), 파트너랑 자유롭게 탁구치면 되는 거라 재밌어요
과제는 탁구공 튀기기, 파트너랑 탁구공 주고받기인데 횟수가 상당히 많아서 처음에는 좀 부담스러웠지만 하다 보면 어찌저찌 됩니다
마지막 과제는 파트너랑 탁구공 주고받는데 시간제한이 있어서 빡셌지만, 교수님께서 기준을 대폭 완화해주셔서 정말 융통성 있는 좋은 분이라고 느꼈습니다
때로 아침에 일어나기 힘들기도 했지만 그래도 즐겁게 탁구를 배워갈 수 있어 좋았습니다ㅎㅎ"
탁구초급,권준우,23,Summer,5.0,"교수님이 너무 친절하시고 재밌어요
주어진 과제만 성실하게 하고 교수님이 시키시는것만 잘하면 성적도 잘 주십니다 출석도 너그럽게 봐주시고요!
여름학기 최고 꿀강 추천합니다~~"
탁구초급,권준우,22,Summer,5.0,"22-여름학기 수강했습니다
초급 수업이지만 잘 치시는 분들이 많으셨습니다
중간이나 기말 과제가
왔다갔다 파트너랑  핑퐁하는거 50개,100개 영상촬영해서 제출하면 끝입니다. 출석은 지각 한번하고 다 성실히 했더니
에쁠 나왔슴다 개인적으로 탁구 처음 해보는데 자세 배울 수 있어 좋았어요"
탁구초급,권준우,21,Fall,5.0,"교수님 너무 착하시고 재밌으시고 너그러우십니다
성적도 잘 주시고 한사람씩 친절하게 봐주세요
한 학기 힐링수업이었습니다"
탁구초급,권준우,21,Fall,5.0,"21-겨울
교수님은 진정한 천사입니다.. 수업을 들으신 분들은 왜일지 알 것입니다.. 수강생들과도 되게 잘 놀아주세요"
탁구초급,권준우,21,Fall,5.0,"2021-겨울학기 수강

30명으로 시작했으나 첫시간부터 드랍자가 절반이 넘어서 최종적으로 한 15명...? 으로 끝났습니다
하지만 그래서 탁구대도 엄청 편하게 쓰고, 교수님께서 하나씩 잘 봐주셔서 너무 좋았습니다

교수님이 되게 유쾌하시고 친절하게 잘 알려주셔서 탁구 생초보도 진짜 편안하게 탁구 잘 배워갔습니다
또 대부분의 시간은 파트너나 주변 분들하고 같이 탁구를 자유롭게 치는 시간을 주셔서 수업이라기 보다 놀다 오는 기분이었습니다 ㅋㅋㅋ

거기다가 휴강도 은근 많고, 시험도 영상 찍어서 제출이라 너무 편-안했으며, 학점도 ""나에게 학점 올려달란 메일을 보낼 일은 없을 것이다. 더 이상 올라갈 곳이 없을 것이기 때문""이라는 명언을 마지막 시간에 해주시면서 달달하게 A+ 하사하시네요!

수업 강추합니다!! 교수님 최고!!!!!"
탁구초급,강상욱,23,Summer,5.0,"여름 계절들었는데 너무 재밌었고 교수님도, 같이 수강하는 학우분들도 너무 좋았습니다!
너무너무 재밌었어요 학점도 후하시고요"
탁구초급,강상욱,23,Summer,5.0,"저는 너무 재밌게 잘 들었습니다!! 
여기서 만난 분들이랑 잘 어울려서 수업 끝나고도 종종 만나서 탁구치고 술먹고 해서 너무 좋습니다 ㅎㅎ
교수님도 엄청 친절하시고 한명한명 자세교정도 해주셔서 정말 좋았습니다
여태까지 했던 체육교양 중에서 단연 최고였습니다😍"
탁구초급,강상욱,23,Summer,2.0,"적어도 계절에는 비추, 아는 사람 없으면 더더욱ㅇ
교수님이 가르쳐주시는게 거의 없고 원하는 파트너랑 알아서 치거나 복식게임 위주로 진행됩니다. 완전 초짜는 아니지만, 제대로 배운게 없고 자세 피드백도 거의 없어서 그냥 운동신경으로 눈치껏 치는 느낌이었습니다."
탁구초급,강상욱,22,Winter,5.0,계절로들었는데 너무재밌었어요!! 다들 들으세여
탁구초급,강상욱,21,Spring,1.0,"계절학기 수강생입니다. 다른건 필요없고, 치는법을 알려주실때 학생이 잘 못하면 한숨을 푹푹 내쉬면서 짜증조로 가르쳐주시는데, 상당히 별로였습니다. 난생 처음 탁구를 배워본다, 운동신경이 부족하다 하면 이 수업 안들으시는걸 추천드립니다. 탁구 자체에 대해서도 깊이있게 배우기 어려웠던 수업이었습니다."
탁구초급,강상욱,21,Spring,5.0,2021 겨울 계절 수강. 초급 수준에 맞게 가르쳐 주시면서도 진짜 재밌게 배울 수 있었음. 다만 같이 칠 친구가 없다면 초반에 좀 뻘쭘하겠다는 생각이 들기도... 계절이 아니라 대면 정규학기에 들었다면 조 사람들이랑 좀 친해지고 전반적으로 분위기 좋게 친해질 수도 있었겠다 싶은 강의.
탁구초급,강상욱,21,Spring,5.0,21년 겨울계절로 들었는데 개꿀잼. 마지막에 팀전하는데 진짜 재밌음ㅋㅋㅋ 교수님 완전 친절하시고 최고~ 살짝 츤데레 서타일
탁구초급,강상욱,21,Spring,5.0,탁구 재미있게 배울 수 있는 꿀강. 탁구 못 치는 사람도 실력이랑 상관 없이 에이쁠 받을 수 있음. 출결만 만점이면 에이쁠.
탁구초급,강상욱,21,Spring,5.0,"교수님 너무 친절하시고 같이 수업받는 사람들과 토너먼트로 탁구하는 것 자체도 재밌었어요
추천드립니다 정말 꿀빨수있는 좋은 강의"
탁구초급,강상욱,21,Spring,5.0,완전 재밌어요. 추천합니다. 교수님도 좋고 수업도 좋아요.
탁구초급,강상욱,21,Spring,5.0,교수님 쾌남이시고 출결만 잘 챙기면 개꿀강좌. 여름에 체교 들으실 분은 탁구 추천. 실매라 살도 안타고 덜 더움.
탁구초급,강상욱,21,Spring,5.0,"교수님께서 친절하고 친근하게 잘 가르쳐주시고
수업도 정말 재밌습니다!"
탁구초급,강상욱,21,Spring,5.0,탁구 기본기에 대한 친절히 설명해주시고 학생들에게 친근하게 다가와주셔서 매우 좋았음.
탁구초급,강상욱,21,Spring,5.0,수업내용 너무 친절하게 설명해주셔서 재밌게 잘 들었어요!!
탁구초급,강상욱,21,Spring,5.0,"최고에요 교수님도 친절하시고 재미있습니다!!!
대면 진행했습니다"
탁구초급,강상욱,20,Spring,5.0,교수님도 친절하시고 수업도 재밌었습니다!!
탁구초급,강상욱,19,Fall,5.0,😊😊😊😊😊😊😊😊😊😊😊
탁구초급,송영훈,17,Fall,5.0,"17-겨울 수강
교수님 너무 좋으세요! 가서 즐겜하다 오시면 A+ 확정인 수업입니다. 포핸드 백핸드 조금 배우고 랠리하고 게임했습니다."
탁구초급,박철욱,23,Fall,5.0,재밋고 성적 잘 주심 수강생들과 친해지기도 좋은 강의! 보고서는 사실상 반쪽 정도...
탁구초급,박철욱,23,Fall,5.0,"기말 단식경기 10패 출석 만점으로 에제 받았습니다
원래 잘 치시던 분들이 많아 에이쁠 받기는 조금 힘든 것 같은데 배워가는 건 많은 강의였습니다!
교수님이 좋으세요
출석은 수업 끝날 때 부르십니다"
